Company Name,Address,City,State,Contact Person,Phone No,Mob No,Service Detail,Supplier or Booking,LCV or HCV,Email Id,Website,Vehicle Type,Segment
Agron Logistics India Pvt. Ltd.,"BG-554, Sanjay Gandhi Transport Nagar, Delhi -42",Delhi,Delhi,"S. Sarkar , Sanjeev Kumar",011 - 27**7404,"9212196602 ,  9212196601",All Over India,Booking,"HCV, LCV",**njeevg@*gronlogi*tic*.com,www.agronlogistics.com,"Container,  10 Wheeler",Industrial Goods
Ahmedabad Bengal Roadways Pvt. Ltd.,"1295/1-B, Kapashera Village, Opp. D.C. Office, Near Fun 'N' Food Village, Delhi",Delhi,Delhi,Dharmveer,"011 - 2*062*77,  2*062477,  2*061277,  416*6077",9*110*2177,All Over India,"Supplier, Booking","HCV, LCV",*brtr*n*port@y*hoo.com,,"10 Wheeler,  12 Wheeler",Parcel Services
Ahuja Carriers,"36/1, Govindpuri, Kalkaji, Opp. Dtc Bus Depot, New Delhi- 19",Delhi,Delhi,Jagdish Ahuja,"011 - 264**027,  2622**41",9*122*9496,"Delhi, U.P., Haryana, Punjab, Rajasthan, M.P., Gujarat & Maharashtra",Supplier,"HCV, LCV",,,"Truck,  1109,  407 Ton",Industrial Goods
Ahuja Freight Carrier Regd.,"Shade No. 12, A- 4, Okhla Industrial Estate, New Delhi-20",Delhi,Delhi,Sanjeev Ahuja,"011 - 26***067,  26*46667,  41001042",,"Parcel Booking For Calcutta, Mumbai , Bhiwandi, Pune , Baddi, Chandigarh, South",Booking,"HCV, LCV",*huj*freightc*rrier@y*hoo.co.in,,"Container,  10 Wheeler,  12 Wheeler",All Type Material
Ahuja Roadlines,"ICD Office - 316/4, Inland Container Depot, TKD, New Delhi",Delhi,Delhi,Arun Ahuja,011 - 26*6*700 / **00,9*10014916,All Over India,Supplier,HCV,,,,
Ahuja Tempo Service,"2/125, Geeta Colony, Opp, Ramlila Ground, Gate No.2., Delhi",Delhi,Delhi,Joqinder Kumar,,"9*1011***0,  9*1*7662*0","All Over U.P., Haryana, Punjab, Rajasthan, Delhi",Supplier,LCV,,,"1109,  509 Ton",All Type Material
Ahuja Transport Co.,"6th Mile Stone, U.P Border, Near Yuvraj Complex, P.O. Chikamberpur, Ghaziabad",Delhi,Delhi,Pappu Ahuja,,"9210062126,  92*0249*2*","All Over Bengal, Assam, Bihar Spl. Assam","Supplier, Booking","HCV, LCV",,,,
Ahuja Transport Service,"27, Silver Park. Shiv Puri, Delhi",Delhi,Delhi,Inderpal,,"9*1224*9**,  9*10*24920","All Over Uttaranchal , Rajasthan, Punjab",Supplier,"HCV, LCV",inderp*l.*gi@gm*il.com,,"Tempo,  10 Wheeler",All Type Material
Aiorta Logistic Pvt. Ltd.,"Plot. No. 165/ A 8, Pataka Biri Wali Gali, 7th Mile Stone, Dehli -U.P. Border, Ghaziabad",Delhi,Delhi,Pawan Lohia,011 - *29*199*,9*7*07*09*,All Over India,Booking,"HCV, LCV",*llindi*delhi@gm*il.com,,"Tempo,  Truck,  Trailer",All Type Material
Air Transport Corporation (Assam) Ltd.,"37, Rani Jhansi Road, New Delhi-55",Delhi,Delhi,S.D. Goyal,"011 - 2*6144**,  2*6114**,  *2*7*4*9,  *274400",9*106276*6,All Over India,"Supplier, Booking","HCV, LCV",delhi@*t*lindi*.com,,,
